Country,Month,Temperature,Humidity
Algeria,May,29.4,74.72
Algeria,May,29.56,75.04
Algeria,May,30.34,29.21
Algeria,May,30.91,56.16
Algeria,May,34.3,82.63
Algeria,May,34.41,79.68
Algeria,May,37.33,70.14
Algeria,May,39.1,61.16
Algeria,May,39.91,83.89
Algeria,May,40.17,70.32
Algeria,May,41.24,54.18
Algeria,May,41.34,33.28
Algeria,May,41.73,76.02
Algeria,May,42.37,26.23
Algeria,May,43.22,16.07
Algeria,May,44.43,29.3
Algeria,May,45.04,12.94
Algeria,May,46.28,12.46
Algeria,May,46.64,65.56
Algeria,May,46.93,30.06
Algeria,May,47.21,42.78
Algeria,May,48.12,78.51
Algeria,May,48.5,26.56
Algeria,May,48.73,61.12
Angola,August,21.8,79.54
Angola,August,30.57,75.28
Angola,August,31.98,34.52
Angola,August,35.06,62.17
Angola,August,35.86,59.84
Angola,August,36.46,16.75
Angola,August,36.53,28.31
Angola,August,37.06,19.26
Angola,August,41.95,76.71
Angola,August,45.77,16.87
Angola,August,45.94,75.27
Angola,August,48.24,46.34
Angola,August,48.42,71.46
Angola,July,20.5,83.95
Angola,July,21.06,44.29
Angola,July,22.18,86.07
Angola,July,23.45,33.46
Angola,July,24.28,18.16
Angola,July,25.19,55.75
Angola,July,30.16,81.4
Angola,July,30.17,89.42
Angola,July,30.97,65.83
Angola,July,31.97,40.53
Angola,July,32.92,24.39
Angola,July,32.99,25.74
Angola,July,33.96,84.37
Angola,July,40.91,46.24
Angola,July,41.08,43.91
Angola,July,41.12,75.7
Angola,July,41.22,77.21
Angola,July,42.41,41.01
Angola,July,42.44,79.88
Angola,July,43.2,34.59
Angola,July,43.58,89.55
Angola,July,44.94,12.08
Angola,July,48.59,46.66
Angola,June,21.81,45.65
Angola,June,22.79,22.41
Angola,June,23.77,12.99
Angola,June,24.07,24.05
Angola,June,25.78,28.98
Angola,June,27.12,70.41
Angola,June,28.83,45.08
Angola,June,30.26,52.52
Angola,June,30.73,53.64
Angola,June,30.86,82.97
Angola,June,33.05,53.91
Angola,June,38.7,78.57
Angola,June,39.25,56.44
Angola,June,40.26,44.16
Angola,June,41.89,18.98
Angola,June,42.74,70.68
Angola,June,42.75,25.0
Angola,June,43.18,25.68
Angola,June,45.62,22.57
Angola,June,47.82,87.84
Angola,June,48.57,29.71
Angola,May,23.12,20.19
Angola,May,24.35,26.18
Angola,May,24.81,86.18
Angola,May,25.7,70.36
Angola,May,26.13,71.25
Angola,May,26.82,71.75
Angola,May,27.38,65.11
Angola,May,28.4,87.48
Angola,May,28.83,11.62
Angola,May,29.53,75.57
Angola,May,33.17,12.98
Angola,May,33.28,11.25
Angola,May,36.34,65.18
Angola,May,38.16,53.86
Angola,May,38.44,23.48
Angola,May,39.81,82.18
Angola,May,40.76,19.34
Angola,May,41.06,28.91
Angola,May,41.31,14.96
Angola,May,44.15,60.7
Angola,May,45.61,80.76
Angola,May,47.28,49.7
Angola,May,47.34,42.49
Angola,May,49.32,18.73
Angola,May,49.77,34.41
Benin,August,21.08,27.92
Benin,August,22.77,15.24
Benin,August,25.99,76.45
Benin,August,26.01,28.85
Benin,August,26.81,52.11
Benin,August,26.82,74.37
Benin,August,28.34,65.12
Benin,August,28.53,48.17
Benin,August,30.98,28.83
Benin,August,33.85,78.36
Benin,August,33.97,60.21
Benin,August,35.45,49.81
Benin,August,36.13,44.45
Benin,August,40.4,87.74
Benin,August,42.2,69.67
Benin,August,42.64,62.02
Benin,August,42.9,50.55
Benin,August,43.1,42.77
Benin,August,44.08,86.17
Benin,August,44.29,74.4
Benin,August,44.51,35.32
Benin,August,46.08,50.28
Benin,August,46.2,63.69
Benin,August,46.85,40.3
Benin,August,49.36,53.7
Benin,August,49.85,23.01
Benin,July,28.88,89.26
Benin,July,30.3,29.58
Benin,July,31.88,76.13
Benin,July,33.49,54.45
Benin,July,37.31,66.38
Benin,July,39.54,13.54
Benin,July,39.95,24.85
Benin,July,42.84,82.64
Benin,July,44.57,72.98
Benin,July,47.23,26.43
Benin,July,47.72,12.17
Benin,July,48.88,72.33
Benin,July,49.67,29.82
Benin,June,21.53,12.54
Benin,June,23.17,63.57
Benin,June,24.41,77.68
Benin,June,25.32,32.59
Benin,June,26.72,13.13
Benin,June,28.04,75.33
Benin,June,28.66,67.26
Benin,June,30.54,75.38
Benin,June,31.58,29.94
Benin,June,32.09,48.36
Benin,June,36.16,31.19
Benin,June,36.22,25.9
Benin,June,36.96,13.07
Benin,June,37.01,50.99
Benin,June,40.13,71.74
Benin,June,41.72,78.15
Benin,June,42.34,33.36
Benin,June,43.92,27.35
Benin,June,44.63,64.39
Benin,June,46.09,45.85
Benin,June,46.88,40.52
Benin,June,49.11,20.37
Benin,May,20.73,30.61
Benin,May,21.2,26.08
Benin,May,21.63,29.57
Benin,May,22.39,71.95
Benin,May,22.9,71.18
Benin,May,23.92,72.49
Benin,May,25.33,44.77
Benin,May,25.98,24.47
Benin,May,27.91,10.75
Benin,May,28.16,23.91
Benin,May,28.33,13.24
Benin,May,31.05,18.0
Benin,May,31.57,57.74
Benin,May,33.03,25.28
Benin,May,33.58,51.89
Benin,May,34.36,50.68
Benin,May,35.33,68.96
Benin,May,37.34,20.28
Benin,May,37.37,41.31
Benin,May,37.52,61.41
Benin,May,40.17,42.71
Benin,May,42.3,88.88
Benin,May,43.23,66.02
Benin,May,45.11,12.31
Benin,May,46.21,68.48
Botswana,August,20.52,24.07
Botswana,August,23.93,14.05
Botswana,August,24.42,18.07
Botswana,August,25.43,27.08
Botswana,August,27.65,20.69
Botswana,August,29.72,31.63
Botswana,August,30.36,32.25
Botswana,August,32.29,60.94
Botswana,August,32.58,26.63
Botswana,August,32.69,10.92
Botswana,August,32.9,16.31
Botswana,August,34.33,58.69
Botswana,August,34.38,70.0
Botswana,August,37.3,35.12
Botswana,August,37.73,38.86
Botswana,August,38.45,34.24
Botswana,August,38.82,79.69
Botswana,August,39.79,55.73
Botswana,August,41.73,19.05
Botswana,August,42.7,30.55
Botswana,August,44.23,34.8
Botswana,August,45.36,83.87
Botswana,August,47.82,63.25
Botswana,August,49.58,36.53
Botswana,July,22.5,74.21
Botswana,July,23.49,27.13
Botswana,July,23.52,48.28
Botswana,July,25.21,59.36
Botswana,July,26.03,35.67
Botswana,July,26.39,58.84
Botswana,July,26.52,25.91
Botswana,July,26.97,65.98
Botswana,July,29.5,84.33
Botswana,July,29.77,33.83
Botswana,July,29.91,70.56
Botswana,July,30.99,88.33
Botswana,July,35.29,61.26
Botswana,July,35.72,87.75
Botswana,July,38.04,73.21
Botswana,July,40.01,56.39
Botswana,July,45.73,44.96
Botswana,July,47.69,64.44
Botswana,July,49.78,35.9
Botswana,June,20.74,63.27
Botswana,June,21.57,35.35
Botswana,June,21.75,73.07
Botswana,June,22.33,47.75
Botswana,June,23.76,33.66
Botswana,June,26.99,87.46
Botswana,June,29.86,37.7
Botswana,June,30.77,81.7
Botswana,June,31.02,36.86
Botswana,June,31.25,12.6
Botswana,June,32.01,76.33
Botswana,June,32.45,33.53
Botswana,June,33.79,75.73
Botswana,June,36.12,44.33
Botswana,June,38.65,62.23
Botswana,June,41.26,51.97
Botswana,June,41.75,21.67
Botswana,June,41.79,27.45
Botswana,June,42.83,67.39
Botswana,June,43.18,18.27
Botswana,June,44.57,48.91
Botswana,June,44.58,54.62
Botswana,June,45.47,62.09
Botswana,June,47.98,33.26
Botswana,June,48.62,48.4
Botswana,June,49.32,32.74
Botswana,June,49.6,36.64
Botswana,May,21.28,35.26
Botswana,May,22.57,52.18
Botswana,May,23.32,42.18
Botswana,May,24.9,34.85
Botswana,May,26.27,50.08
Botswana,May,29.07,75.32
Botswana,May,31.45,22.12
Botswana,May,32.56,33.79
Botswana,May,35.25,75.32
Botswana,May,36.57,86.53
Botswana,May,36.72,36.9
Botswana,May,37.85,51.21
Botswana,May,38.32,71.67
Botswana,May,40.05,26.15
Botswana,May,42.28,65.58
Botswana,May,44.14,61.87
Botswana,May,47.29,84.43
Botswana,May,48.33,65.3
Botswana,May,48.45,84.8
Botswana,May,48.7,51.11
Botswana,May,48.75,30.9
Botswana,May,49.74,23.41
Burkina Faso,August,21.08,24.68
Burkina Faso,August,22.45,32.3
Burkina Faso,August,23.64,67.3
Burkina Faso,August,25.44,15.77
Burkina Faso,August,26.33,25.07
Burkina Faso,August,28.17,18.94
Burkina Faso,August,28.91,21.11
Burkina Faso,August,30.5,77.82
Burkina Faso,August,30.63,29.07
Burkina Faso,August,30.75,13.03
Burkina Faso,August,33.2,68.61
Burkina Faso,August,34.56,47.97
Burkina Faso,August,34.62,65.77
Burkina Faso,August,35.12,31.41
Burkina Faso,August,35.19,40.33
Burkina Faso,August,35.83,14.46
Burkina Faso,August,36.13,30.3
Burkina Faso,August,39.38,36.44
Burkina Faso,August,41.19,43.13
Burkina Faso,August,42.02,34.53
Burkina Faso,August,42.37,40.64
Burkina Faso,August,42.78,41.1
Burkina Faso,August,44.13,52.2
Burkina Faso,August,48.95,20.93
Burkina Faso,July,21.0,62.67
Burkina Faso,July,21.44,16.94
Burkina Faso,July,22.46,24.29
Burkina Faso,July,23.37,11.62
Burkina Faso,July,24.23,63.88
Burkina Faso,July,24.84,21.6
Burkina Faso,July,25.59,70.82
Burkina Faso,July,25.9,12.25
Burkina Faso,July,27.3,15.34
Burkina Faso,July,27.98,53.91
Burkina Faso,July,28.34,41.21
Burkina Faso,July,31.14,40.97
Burkina Faso,July,32.9,53.74
Burkina Faso,July,34.59,24.1
Burkina Faso,July,35.8,88.47
Burkina Faso,July,37.26,29.6
Burkina Faso,July,40.06,13.96
Burkina Faso,July,41.54,88.59
Burkina Faso,July,42.56,71.25
Burkina Faso,July,42.62,59.54
Burkina Faso,July,43.62,78.64
Burkina Faso,July,43.98,59.0
Burkina Faso,July,44.68,67.45
Burkina Faso,July,44.88,17.83
Burkina Faso,July,47.18,67.82
Burkina Faso,July,47.66,73.46
Burkina Faso,July,48.83,70.12
Burkina Faso,July,48.88,27.77
Burkina Faso,July,49.25,67.0
Burkina Faso,July,49.29,83.91
Burkina Faso,June,24.05,11.96
Burkina Faso,June,26.57,23.5
Burkina Faso,June,29.42,43.37
Burkina Faso,June,29.64,75.37
Burkina Faso,June,32.17,18.22
Burkina Faso,June,36.71,88.64
Burkina Faso,June,37.32,30.7
Burkina Faso,June,39.78,57.01
Burkina Faso,June,42.0,48.37
Burkina Faso,June,42.45,52.11
Burkina Faso,June,42.48,86.71
Burkina Faso,June,42.53,12.41
Burkina Faso,June,44.52,19.34
Burkina Faso,June,44.64,42.56
Burkina Faso,June,46.26,72.06
Burkina Faso,June,47.2,70.72
Burkina Faso,June,47.96,11.74
Burkina Faso,June,49.04,62.97
Burkina Faso,May,20.47,88.48
Burkina Faso,May,20.79,52.6
Burkina Faso,May,20.87,88.11
Burkina Faso,May,21.66,47.24
Burkina Faso,May,21.94,78.49
Burkina Faso,May,22.29,53.21
Burkina Faso,May,23.68,33.57
Burkina Faso,May,23.81,72.9
Burkina Faso,May,27.31,52.05
Burkina Faso,May,29.12,33.62
Burkina Faso,May,29.78,37.19
Burkina Faso,May,31.47,78.64
Burkina Faso,May,31.5,68.44
Burkina Faso,May,31.79,66.54
Burkina Faso,May,31.99,58.24
Burkina Faso,May,34.08,81.56
Burkina Faso,May,34.38,20.68
Burkina Faso,May,34.59,50.23
Burkina Faso,May,35.31,75.18
Burkina Faso,May,36.8,12.31
Burkina Faso,May,36.95,75.25
Burkina Faso,May,37.48,41.47
Burkina Faso,May,39.36,38.58
Burkina Faso,May,39.49,72.96
Burkina Faso,May,39.75,43.49
Burkina Faso,May,40.11,49.28
Burkina Faso,May,42.79,18.15
Burkina Faso,May,43.08,21.04
Burkina Faso,May,43.38,44.91
Burkina Faso,May,44.33,77.22
Burundi,August,21.59,11.48
Burundi,August,22.52,46.62
Burundi,August,26.66,60.16
Burundi,August,28.58,79.48
Burundi,August,30.0,87.32
Burundi,August,30.87,56.09
Burundi,August,31.27,22.09
Burundi,August,33.76,30.46
Burundi,August,34.28,57.58
Burundi,August,35.82,13.78
Burundi,August,37.31,67.37
Burundi,August,37.96,18.94
Burundi,August,38.04,11.02
Burundi,August,42.22,15.56
Burundi,August,42.49,22.17
Burundi,August,45.42,36.33
Burundi,August,45.62,39.02
Burundi,August,48.89,38.59
Burundi,July,21.0,44.86
Burundi,July,25.72,80.25
Burundi,July,25.9,86.52
Burundi,July,26.2,28.03
Burundi,July,28.53,83.62
Burundi,July,28.87,19.0
Burundi,July,31.66,10.63
Burundi,July,33.85,66.42
Burundi,July,35.57,54.85
Burundi,July,35.86,30.26
Burundi,July,35.86,58.25
Burundi,July,40.02,89.97
Burundi,July,40.31,57.72
Burundi,July,41.95,55.07
Burundi,July,42.86,13.54
Burundi,July,45.29,83.34
Burundi,July,46.41,28.16
Burundi,June,20.19,84.02
Burundi,June,20.39,59.32
Burundi,June,20.74,63.23
Burundi,June,20.77,45.77
Burundi,June,21.69,84.2
Burundi,June,22.77,68.72
Burundi,June,23.14,66.86
Burundi,June,23.34,41.94
Burundi,June,29.08,68.68
Burundi,June,33.9,52.28
Burundi,June,35.66,29.58
Burundi,June,37.52,48.46
Burundi,June,37.75,37.9
Burundi,June,42.01,65.78
Burundi,June,42.22,36.93
Burundi,June,43.84,28.08
Burundi,June,44.89,82.71
Burundi,June,45.96,39.0
Burundi,June,47.21,86.3
Burundi,June,48.26,68.4
Burundi,June,48.27,51.91
Burundi,June,48.68,76.62
Burundi,May,20.13,32.61
Burundi,May,22.05,16.9
Burundi,May,23.73,15.12
Burundi,May,25.75,70.47
Burundi,May,26.59,18.85
Burundi,May,26.75,16.05
Burundi,May,26.93,35.21
Burundi,May,29.26,89.49
Burundi,May,29.42,55.91
Burundi,May,31.63,88.61
Burundi,May,34.33,81.39
Burundi,May,34.67,64.01
Burundi,May,36.01,58.32
Burundi,May,36.71,66.96
Burundi,May,39.08,38.34
Burundi,May,39.28,41.53
Burundi,May,40.0,57.77
Burundi,May,40.21,41.49
Burundi,May,42.26,38.26
Burundi,May,42.51,35.62
Burundi,May,43.24,77.76
Burundi,May,46.55,80.16
Burundi,May,46.57,74.15
Burundi,May,46.83,70.04
Burundi,May,47.23,56.27
Burundi,May,48.52,37.69
Burundi,May,48.82,34.26
Cabo Verde,August,21.58,58.13
Cabo Verde,August,22.54,57.59
Cabo Verde,August,23.84,31.72
Cabo Verde,August,24.89,28.77
Cabo Verde,August,27.0,55.49
Cabo Verde,August,29.1,62.8
Cabo Verde,August,32.16,62.2
Cabo Verde,August,32.22,89.58
Cabo Verde,August,32.93,40.75
Cabo Verde,August,32.96,32.69
Cabo Verde,August,33.38,85.16
Cabo Verde,August,34.08,71.34
Cabo Verde,August,34.4,18.95
Cabo Verde,August,36.66,84.61
Cabo Verde,August,37.7,51.85
Cabo Verde,August,40.73,76.98
Cabo Verde,August,41.22,42.23
Cabo Verde,August,44.87,62.4
Cabo Verde,August,45.93,65.09
Cabo Verde,August,47.51,31.79
Cabo Verde,August,49.26,45.44
Cabo Verde,August,49.3,71.37
Cabo Verde,July,24.03,40.76
Cabo Verde,July,25.83,78.23
Cabo Verde,July,26.39,57.47
Cabo Verde,July,28.2,20.81
Cabo Verde,July,29.99,84.96
Cabo Verde,July,30.55,12.95
Cabo Verde,July,32.22,89.13
Cabo Verde,July,35.62,46.86
Cabo Verde,July,36.73,24.54
Cabo Verde,July,36.78,86.74
Cabo Verde,July,37.17,67.84
Cabo Verde,July,37.85,28.41
Cabo Verde,July,39.24,47.81
Cabo Verde,July,43.12,45.16
Cabo Verde,July,45.03,51.52
Cabo Verde,July,45.48,69.66
Cabo Verde,July,46.51,54.75
Cabo Verde,July,46.6,32.65
Cabo Verde,July,46.94,42.42
Cabo Verde,July,47.35,81.7
Cabo Verde,July,49.19,82.13
Cabo Verde,July,49.29,80.04
Cabo Verde,June,20.23,68.76
Cabo Verde,June,20.34,30.24
Cabo Verde,June,20.39,49.53
Cabo Verde,June,22.23,52.42
Cabo Verde,June,22.68,67.78
Cabo Verde,June,23.05,74.35
Cabo Verde,June,23.51,25.83
Cabo Verde,June,26.61,54.92
Cabo Verde,June,27.32,46.5
Cabo Verde,June,27.71,76.1
Cabo Verde,June,28.72,13.47
Cabo Verde,June,31.55,32.34
Cabo Verde,June,32.24,17.92
Cabo Verde,June,33.33,87.78
Cabo Verde,June,33.52,34.57
Cabo Verde,June,35.6,52.18
Cabo Verde,June,38.42,65.65
Cabo Verde,June,38.87,14.37
Cabo Verde,June,39.46,59.71
Cabo Verde,June,40.93,39.19
Cabo Verde,June,40.99,37.92
Cabo Verde,June,42.18,13.67
Cabo Verde,June,44.05,87.24
Cabo Verde,June,44.0,76.0
Cabo Verde,June,44.53,61.98
Cabo Verde,June,45.51,10.42
Cabo Verde,June,49.63,55.87
Cabo Verde,May,21.08,84.1
Cabo Verde,May,22.99,49.48
Cabo Verde,May,23.95,80.9
Cabo Verde,May,25.34,14.49
Cabo Verde,May,27.07,50.26
Cabo Verde,May,29.35,53.98
Cabo Verde,May,29.54,72.49
Cabo Verde,May,29.72,55.45
Cabo Verde,May,33.15,22.5
Cabo Verde,May,36.88,78.03
Cabo Verde,May,38.13,44.55
Cabo Verde,May,39.23,59.07
Cabo Verde,May,41.28,54.88
Cabo Verde,May,42.5,71.78
Cabo Verde,May,42.75,56.32
Cabo Verde,May,43.77,33.94
Cabo Verde,May,45.0,82.4
Cabo Verde,May,45.45,30.37
Cabo Verde,May,46.07,47.09
Cabo Verde,May,48.62,56.93
Cabo Verde,May,49.89,22.49
Cameroon,August,20.18,22.44
Cameroon,August,20.29,71.51
Cameroon,August,21.62,20.99
Cameroon,August,23.45,41.55
Cameroon,August,23.92,87.48
Cameroon,August,24.49,39.31
Cameroon,August,24.76,70.99
Cameroon,August,25.59,19.48
Cameroon,August,28.45,47.5
Cameroon,August,28.53,67.66
Cameroon,August,29.96,87.64
Cameroon,August,30.03,86.06
Cameroon,August,30.21,36.48
Cameroon,August,30.43,75.45
Cameroon,August,30.93,16.72
Cameroon,August,31.25,50.1
Cameroon,August,32.29,55.39
Cameroon,August,34.13,16.62
Cameroon,August,36.63,47.7
Cameroon,August,37.27,21.13
Cameroon,August,38.3,45.3
Cameroon,August,38.56,41.54
Cameroon,August,38.67,24.41
Cameroon,August,39.8,38.63
Cameroon,August,40.19,34.13
Cameroon,August,40.19,43.04
Cameroon,August,40.84,82.29
Cameroon,August,42.02,30.54
Cameroon,August,43.69,81.05
Cameroon,August,45.5,15.37
Cameroon,August,47.53,67.06
Cameroon,August,47.66,85.21
Cameroon,August,48.64,57.55
Cameroon,August,49.46,62.44
Cameroon,July,21.14,38.3
Cameroon,July,21.53,29.51
Cameroon,July,22.95,25.57
Cameroon,July,23.52,51.09
Cameroon,July,26.18,48.27
Cameroon,July,27.26,34.12
Cameroon,July,29.05,32.47
Cameroon,July,29.75,27.25
Cameroon,July,30.02,87.35
Cameroon,July,30.14,89.2
Cameroon,July,35.53,54.19
Cameroon,July,36.38,22.89
Cameroon,July,38.47,86.29
Cameroon,July,39.4,19.77
Cameroon,July,39.56,72.3
Cameroon,July,40.09,49.08
Cameroon,July,42.92,37.7
Cameroon,July,44.03,45.11
Cameroon,July,44.95,16.77
Cameroon,July,45.07,30.06
Cameroon,July,45.85,28.65
Cameroon,July,48.15,37.74
Cameroon,July,49.66,60.24
Cameroon,June,20.75,56.1
Cameroon,June,21.57,24.47
Cameroon,June,22.62,41.2
Cameroon,June,23.19,29.84
Cameroon,June,23.81,52.97
Cameroon,June,23.81,69.07
Cameroon,June,25.26,60.88
Cameroon,June,26.28,34.7
Cameroon,June,26.65,42.0
Cameroon,June,28.12,58.7
Cameroon,June,28.47,58.19
Cameroon,June,28.76,55.76
Cameroon,June,28.89,76.36
Cameroon,June,31.68,10.18
Cameroon,June,33.32,49.16
Cameroon,June,33.64,18.69
Cameroon,June,35.46,32.53
Cameroon,June,37.29,36.76
Cameroon,June,41.55,81.21
Cameroon,June,42.21,45.06
Cameroon,June,42.22,88.72
Cameroon,June,47.44,42.46
Cameroon,June,49.34,18.33
Cameroon,May,20.16,60.98
Cameroon,May,21.49,72.43
Cameroon,May,22.01,34.15
Cameroon,May,22.24,79.06
Cameroon,May,24.91,18.89
Cameroon,May,25.54,73.29
Cameroon,May,29.05,51.12
Cameroon,May,33.18,41.82
Cameroon,May,33.55,76.45
Cameroon,May,33.76,85.6
Cameroon,May,33.85,76.04
Cameroon,May,33.89,21.0
Cameroon,May,34.21,18.11
Cameroon,May,34.76,13.41
Cameroon,May,35.65,89.1
Cameroon,May,39.12,19.06
Cameroon,May,41.74,45.32
Cameroon,May,42.04,35.39
Cameroon,May,43.31,50.59
Central African Republic,August,20.02,66.63
Central African Republic,August,20.14,83.73
Central African Republic,August,20.35,29.99
Central African Republic,August,21.3,70.49
Central African Republic,August,21.43,79.41
Central African Republic,August,21.59,69.25
Central African Republic,August,21.93,11.65
Central African Republic,August,22.26,44.43
Central African Republic,August,22.68,54.61
Central African Republic,August,24.78,80.12
Central African Republic,August,30.16,52.81
Central African Republic,August,30.28,86.63
Central African Republic,August,30.68,74.44
Central African Republic,August,31.54,30.43
Central African Republic,August,32.09,62.97
Central African Republic,August,32.2,35.15
Central African Republic,August,34.42,68.72
Central African Republic,August,38.69,67.48
Central African Republic,August,40.18,75.32
Central African Republic,August,41.08,41.41
Central African Republic,August,42.09,89.69
Central African Republic,August,42.37,78.58
Central African Republic,August,44.33,26.73
Central African Republic,August,45.78,84.05
Central African Republic,August,46.91,23.91
Central African Republic,August,47.15,52.61
Central African Republic,August,47.42,20.58
Central African Republic,July,20.4,55.69
Central African Republic,July,20.53,42.06
Central African Republic,July,21.75,15.17
Central African Republic,July,25.25,70.48
Central African Republic,July,27.38,55.48
Central African Republic,July,27.53,85.35
Central African Republic,July,28.06,16.08
Central African Republic,July,29.36,77.41
Central African Republic,July,31.49,51.02
Central African Republic,July,32.45,76.81
Central African Republic,July,33.23,30.1
Central African Republic,July,35.74,26.26
Central African Republic,July,37.17,21.49
Central African Republic,July,40.76,54.36
Central African Republic,July,40.77,15.91
Central African Republic,July,41.13,43.15
Central African Republic,July,42.64,75.35
Central African Republic,July,46.59,88.93
Central African Republic,July,47.29,72.99
Central African Republic,July,48.65,62.68
Central African Republic,July,49.77,73.52
Central African Republic,June,21.21,49.09
Central African Republic,June,21.97,69.87
Central African Republic,June,22.22,81.6
Central African Republic,June,22.74,26.36
Central African Republic,June,23.63,49.93
Central African Republic,June,24.17,41.21
Central African Republic,June,24.75,88.73
Central African Republic,June,25.88,41.08
Central African Republic,June,31.88,16.45
Central African Republic,June,33.11,11.59
Central African Republic,June,35.28,80.99
Central African Republic,June,35.98,30.84
Central African Republic,June,36.4,40.94
Central African Republic,June,36.55,29.81
Central African Republic,June,38.41,66.07
Central African Republic,June,40.27,19.97
Central African Republic,June,40.45,55.73
Central African Republic,June,40.88,74.17
Central African Republic,June,41.28,42.56
Central African Republic,June,41.91,52.85
Central African Republic,June,42.23,49.12
Central African Republic,June,43.47,44.83
Central African Republic,June,44.51,59.72
Central African Republic,June,45.08,38.7
Central African Republic,June,48.09,77.23
Central African Republic,June,48.96,14.51
Central African Republic,May,20.01,48.84
Central African Republic,May,20.36,49.9
Central African Republic,May,20.61,49.13
Central African Republic,May,22.65,30.99
Central African Republic,May,25.46,34.94
Central African Republic,May,25.54,39.1
Central African Republic,May,26.53,75.31
Central African Republic,May,27.35,11.95
Central African Republic,May,27.35,77.0
Central African Republic,May,27.95,27.04
Central African Republic,May,31.98,27.17
Central African Republic,May,31.99,53.47
Central African Republic,May,32.04,72.68
Central African Republic,May,33.29,64.54
Central African Republic,May,34.31,72.83
Central African Republic,May,34.73,39.55
Central African Republic,May,36.96,30.13
Central African Republic,May,37.25,65.18
Central African Republic,May,43.07,21.98
Central African Republic,May,43.12,79.21
Central African Republic,May,44.46,14.5
Central African Republic,May,46.01,14.61
Central African Republic,May,46.07,62.09
Central African Republic,May,46.61,64.15
Central African Republic,May,48.14,72.59
Chad,August,21.53,79.56
Chad,August,21.91,79.08
Chad,August,23.68,44.66
Chad,August,23.99,19.69
Chad,August,24.04,19.34
Chad,August,24.16,26.15
Chad,August,26.93,23.79
Chad,August,27.41,65.68
Chad,August,27.59,50.67
Chad,August,29.79,65.41
Chad,August,29.87,35.45
Chad,August,30.84,84.94
Chad,August,31.33,34.18
Chad,August,32.0,61.05
Chad,August,33.23,37.26
Chad,August,33.33,54.11
Chad,August,33.71,68.44
Chad,August,34.06,38.65
Chad,August,35.64,42.26
Chad,August,36.69,72.67
Chad,August,37.7,14.97
Chad,August,38.01,29.4
Chad,August,38.44,55.7
Chad,August,40.3,44.13
Chad,August,45.19,46.61
Chad,August,46.99,18.04
Chad,August,47.81,35.71
Chad,July,21.54,58.96
Chad,July,22.31,58.47
Chad,July,22.49,89.09
Chad,July,25.52,32.97
Chad,July,27.18,65.83
Chad,July,29.05,51.62
Chad,July,29.84,25.21
Chad,July,30.43,64.04
Chad,July,31.79,10.45
Chad,July,31.85,72.62
Chad,July,33.62,32.85
Chad,July,35.56,81.49
Chad,July,35.74,69.97
Chad,July,38.15,37.36
Chad,July,38.24,70.16
Chad,July,39.5,28.73
Chad,July,40.12,54.42
Chad,July,40.33,46.98
Chad,July,40.92,87.36
Chad,July,41.34,72.41
Chad,July,43.78,76.28
Chad,July,45.31,17.9
Chad,July,46.3,21.04
Chad,July,48.38,38.92
Chad,June,22.94,75.61
Chad,June,23.04,30.48
Chad,June,24.44,12.31
Chad,June,24.44,81.86
Chad,June,26.56,62.29
